food_resource_type,description,address,latitude,longitude,phone_number,website,food_bank_hours,meal_hours,community_fridge_hours
"[""food bank""]","Drive thru food bank only during listed hours.
","5130 Leary Ave NW, Seattle, WA 98107",47.6656752,122.3804563,206-789-7800,http://www.ballardfoodbank.org/,"{Monday: {open: ""14:00"", close: ""18:00""}, Wednesday: {open: ""12:00"", close: ""16:00""}, Thursday: {open: ""14:00"", close: ""18:00""}}",,
"[""food bank"", ""meal""]","Food bank continues on a weekly basis, and community meal is providing togo meals to anyone who needs it.","80230 Green Lake Dr N, Seattle, WA 98103",47.6873209,122.3411453,206-524-9000,http://www.churchbcc.org/greenlake/serve/localoutreach,"{Monday: {open: ""18:00"", close: ""19:00""}}","{Monday: {open: ""18:00"", close: ""19:00""}}",
"[""meal""]",Meals: Togo boxes,"5050 8th Ave NE, Seattle, WA 98105",47.6664368,122.3190289,206-547-3020,http://www.blessedsacrament.org/outreach,,"{Sunday: {open: ""12:00"", close: ""14:00""}}",
"[""food bank""]",Prepackaged grocery bags of perishable and nonperishable items. Pick up out front for social distancing,"420 E Pike St, 
Seattle, WA 
98122",47.614462,122.3258975,206-547-2885,http://www.byrdbarrplace.org/programsservices/foodbank/,"{Tuesday: {open: ""11:00"", close: ""16:00""}, Wednesday: {open: ""12:00"", close: ""16:00""}, Thursday: {open: ""10:00"", close: ""14:00""}}",,
"[""food bank"", ""meal""]",Please call ahead for pick up or delivery of a meal,"100 3rd Ave SW, Pacific, WA 98047",47.2641168,122.248845,253-929-1150,http://www.pacificwa.gov/,"{Monday: {open: ""11:00"", close: ""13:00""}}","{Tuesday: {open: ""11:00"", close: ""13:00""}, Wednesday: {open: ""11:00"", close: ""13:00""}, Thursday: {open: ""11:00"", close: ""13:00""}, Friday: {open: ""11:00"", close: ""13:00""}} ",
"[""meal""]","In order to prepare enough food and arrange for deliveries, please call ahead if possible!","808 9th St SE, Auburn, WA 98002",47.2997341,122.218084,253-931-3016,http://www.auburnwa.gov/city_hall/parks_arts_recreation/senior_activity_center,,"{Monday: {open: ""12:00"", close: ""12:30""}, Tuesday: {open: ""12:00"", close: ""12:30""}, Wednesday: {open: ""12:00"", close: ""12:30""}, Thursday: {open: ""12:00"", close: ""12:30""}, Friday: {open: ""12:00"", close: ""12:30""}} ",
"[""meal""]","Lunch is available for pick up during hours. CCS requests participants order meals one week in advance of service need if possible, but no pressure!","2045 S 216th St, Des Moines, WA 98198",47.4069514,122.3058553,206-878-1642,http://www.desmoineswa.gov/cms/one.aspx?pageId=17490998,,"{Monday: {open: ""12:00"", close: ""12:30""}, Tuesday: {open: ""12:00"", close: ""12:30""}, Wednesday: {open: ""12:00"", close: ""12:30""}, Thursday: {open: ""12:00"", close: ""12:30""}} ",
"[""meal""]","Meals handed out on a first come, first served basis. Please enter the parking lot from the entrance on 24th Avenue S. and pick up your meal in front of the Senior Program doors.","13735 24th Ave S, SeaTac, WA 98168",47.4802984,122.3038972,206-973-4686,http://www.seatacwa.gov/services/seniorprogram,,"{Tuesday: {open: ""11:45"", close: ""12:30""}, Wednesday: {open: ""11:45"", close: ""12:30""}, Thursday: {open: ""11:45"", close: ""12:30""}, Friday: {open: ""11:45"", close: ""12:30""}} ",
"[""meal""]",Hot togo meals,"75 NE Creek Way, Issaquah, WA 98027",47.5312212,122.0349418,425-392-2381,http://www.issaquahwa.gov/1744/Seniors,,"{Monday: {open: ""12:00"", close: ""12:30""}, Tuesday: {open: ""12:00"", close: ""12:30""}, Wednesday: {open: ""12:00"", close: ""12:30""}, Thursday: {open: ""12:00"", close: ""12:30""}, Friday: {open: ""12:00"", close: ""12:30""}} ",
"[""meal""]",Adults 60 and older can enjoy a delicious hot lunch for a suggested donation of $4.50 at the North Bellevue Community Center. Those under 60 pay a suggested donation of $6.50. Lunches are sponsored and prepared by Catholic Community Services staff and volunteers.,"4063 148th Ave NE, Bellevue, WA 98007",47.647434,122.1450803,425-452-7681,http://www.bellevuewa.gov/citygovernment/departments/parks/communitycenters/northbellevuecommunitycenter,,"{Monday: {open: ""12:00"", close: ""12:30""}, Tuesday: {open: ""12:00"", close: ""12:30""}, Wednesday: {open: ""12:00"", close: ""12:30""}, Thursday: {open: ""12:00"", close: ""12:30""}} ",
